Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,Speeches,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20060202JTTestimony.pdf,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20060424-JTTestimony.pdf,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2009/20090129-swp-ccrb-testimony-ar.pdf,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2011/20111214-city-council-testimony-on-intro-725.pdf,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2016/20160606-fast-track-cities-statement.pdf,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/wp-content/uploads/2020/01/Annual-Report-web-reduced-file-size1.pdf,,,,,,,1,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/wp-content/uploads/2019/12/UJC-AR-2018.pdf,,,,,,,1,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/wp-content/uploads/2019/12/AR-2016-Website.pdf,,,,,,,1,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/wp-content/uploads/2019/12/UJC-AR-2017.pdf,,,,,,,1,,
,,,,,,,,,,,
HIPS,Sex Workers' rights and Human Trafficking,https://www.hips.org/,1,,,,,,,,
HIPS,Sex Workers' rights and Human Trafficking,https://www.hips.org/about.html,,1,,,,,,,
HIPS,Sex Workers' rights and Human Trafficking,https://www.hips.org/mission.html,,1,,,,,,,
HIPS,Sex Workers' rights and Human Trafficking,https://www.hips.org/sex-worker-advocates-coalition-swac.html,,,1,,,,,,
HIPS,Sex Workers' rights and Human Trafficking,https://www.hips.org/uploads/6/2/2/9/62290383/hips_statement_swrights.pdf,,,1,,,,,,
HIPS,Sex Workers' rights and Human Trafficking,https://www.hips.org/uploads/6/2/2/9/62290383/hips_sexworkpolicies.pdf,,,,1,,,,,
HIPS,Sex Workers' rights and Human Trafficking,https://filtermag.org/decriminalize-sex-work-trans-lgbtq/?fbclid=IwAR3HGC4YRBJI8plLE4U-G7XIxVZ4d99rMrylJ6rvIH8XnczETYTI10YJ8us,,,,,1,,,,
HIPS,Sex Workers' rights and Human Trafficking,https://www.hips.org/hipsinthenews/trans-women-of-color-organizers-are-building-a-movement-to-decriminalize-sex-work-in-dc-on-autostraddle,,,,,1,,,,
,,,,,,,,,,,
Center for Constitutional Rights,Sex Workers' rights and Human Trafficking,https://ccrjustice.org/,1,,,,,,,,
Center for Constitutional Rights,Sex Workers' rights and Human Trafficking,https://ccrjustice.org/home/who-we-are/mission-and-vision,,1,,,,,,,
Center for Constitutional Rights,Sex Workers' rights and Human Trafficking,https://ccrjustice.org/home/press-center/press-releases/louisiana-remove-hundreds-individuals-unconstitutionally-placed-sex,,,,,1,,,,
Center for Constitutional Rights,Sex Workers' rights and Human Trafficking,https://ccrjustice.org/home/press-center/press-releases/judge-rules-sex-offender-registration-crime-against-nature,,,,,1,,,,
Center for Constitutional Rights,Sex Workers' rights and Human Trafficking,https://ccrjustice.org/home/press-center/press-releases/equal-protection-class-action-suit-filed-over-crime-against-nature,,,,,1,,,,
Center for Constitutional Rights,Sex Workers' rights and Human Trafficking,https://ccrjustice.org/home/press-center/press-releases/groups-report-un-us-human-rights-failure-hold-corporations,,,,,1,,,,
Center for Constitutional Rights,Sex Workers' rights and Human Trafficking,https://ccrjustice.org/sites/default/files/attach/2019/10/Annual-Report-2019.pdf,,,,,,,1,,
Center for Constitutional Rights,Sex Workers' rights and Human Trafficking,https://ccrjustice.org/sites/default/files/assets/CCR-annual-report-2011.pdf,,,,,,,1,,
Center for Constitutional Rights,Sex Workers' rights and Human Trafficking,https://ccrjustice.org/sites/default/files/assets/CCR_Annual_Report_2010.pdf,,,,,,,1,,
,,,,,,,,,,,
Sex Workers Outreach Project-Pittsburgh,Sex Workers' rights and Human Trafficking,https://swoppittsburgh.com/,1,,,,,,,,
Sex Workers Outreach Project-Pittsburgh,Sex Workers' rights and Human Trafficking,https://swoppittsburgh.com/About,,1,,,,,,,
Sex Workers Outreach Project-Pittsburgh,Sex Workers' rights and Human Trafficking,https://files.cargocollective.com/c885849/SWOP-Pgh-Resource-Guide-2021--1-.pdf,,,1,,,,,,
Sex Workers Outreach Project-Pittsburgh,Sex Workers' rights and Human Trafficking,https://files.cargocollective.com/c885849/Open-Letter-to-Officials-for-IWD-2021--1-.pdf,,,,,1,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
